DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-10-15,Arms,Close-grip bench press,Triceps,1,12,50.0
2023-10-15,Arms,Close-grip bench press,Triceps,2,14,50.0
2023-10-15,Arms,Close-grip bench press,Triceps,3,12,50.0
2023-10-15,Arms,Behind-the-head skullcrusher,Triceps,1,14,24.0
2023-10-15,Arms,Behind-the-head skullcrusher,Triceps,2,10,24.0
2023-10-15,Arms,Behind-the-head skullcrusher,Triceps,3,8,24.0
2023-10-15,Arms,Hammer Curls,Biceps,1,15,12.0
2023-10-15,Arms,Hammer Curls,Biceps,2,11,12.0
2023-10-15,Arms,Hammer Curls,Biceps,3,9,12.0
2023-10-15,Arms,Incline dumbbell biceps curl,Biceps,1,11,10.0
2023-10-15,Arms,Incline dumbbell biceps curl,Biceps,2,9,10.0
2023-10-15,Arms,Incline dumbbell biceps curl,Biceps,3,7,10.0
