DATE,WORKOUT,EXERCISE,MUSCLE,SET,NB_REPS,WEIGHT
2023-08-18,Back / Biceps,Pull-up,Back,1,12,5.0
2023-08-18,Back / Biceps,Pull-up,Back,2,9,5.0
2023-08-18,Back / Biceps,Pull-up,Back,3,9,5.0
2023-08-18,Back / Biceps,Pull-up,Back,4,6,5.0
2023-08-18,Back / Biceps,Bent Over Barbell Row,Back,1,8,64.0
2023-08-18,Back / Biceps,Bent Over Barbell Row,Back,2,9,64.0
2023-08-18,Back / Biceps,Bent Over Barbell Row,Back,3,8,64.0
2023-08-18,Back / Biceps,Bent Over Barbell Row,Back,4,7,64.0
2023-08-18,Back / Biceps,Hammer Curls,Biceps,1,11,12.0
2023-08-18,Back / Biceps,Hammer Curls,Biceps,2,8,12.0
2023-08-18,Back / Biceps,Hammer Curls,Biceps,3,7,12.0
2023-08-18,Back / Biceps,Incline dumbbell biceps curl,Biceps,1,13,8.0
2023-08-18,Back / Biceps,Incline dumbbell biceps curl,Biceps,2,10,8.0
2023-08-18,Back / Biceps,Incline dumbbell biceps curl,Biceps,3,7,8.0
